TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
11,17,2,0,29
11,18,2,0,31
12,1,1,0,30
12,2,1,0,29
12,3,1,0,27
12,4,1,0,27
12,5,1,1,25
12,6,1,0,12
12,7,1,0,4
12,8,1,0,4
12,9,1,0,8
12,10,1,0,4
12,11,1,0,3
12,12,1,0,6
12,1,2,0,28
12,2,2,0,29
12,3,2,0,29
12,4,2,0,25
12,5,2,1,18
12,6,2,0,17
12,7,2,0,5
12,8,2,0,10
12,9,2,0,14
12,10,2,0,8
12,11,2,0,5
12,12,2,0,3
13,1,1,0,5
13,2,1,0,1
13,3,1,0,3
13,4,1,0,1
13,5,1,0,25
13,6,1,0,31
13,7,1,0,27
13,8,1,0,30
13,9,1,0,29
13,10,1,0,30
13,11,1,0,28
13,12,1,0,31
13,13,1,0,30
13,14,1,0,30
13,15,1,0,24
13,16,1,0,31
13,1,2,0,4
13,2,2,0,0
13,3,2,0,6
13,4,2,0,0
13,5,2,0,30
13,6,2,0,30
13,7,2,0,27
13,8,2,0,30
13,9,2,0,27
13,10,2,0,31
13,11,2,0,29
13,12,2,0,29
13,13,2,0,31
13,14,2,0,31
13,15,2,0,24
13,16,2,0,31
14,1,1,0,0
14,2,1,1,4
14,3,1,0,30
14,4,1,0,31
14,5,1,0,30
14,6,1,0,29
14,7,1,0,28
14,8,1,0,31
14,9,1,0,27
14,10,1,0,26
14,11,1,0,24
14,12,1,0,27
14,1,2,0,0
14,2,2,1,6
14,3,2,0,30
14,4,2,0,28
14,5,2,0,30
14,6,2,0,29
14,7,2,0,26
14,8,2,0,31
14,9,2,0,28
14,10,2,0,30
14,11,2,0,26
14,12,2,0,27
15,1,1,0,31
15,2,1,0,8
15,3,1,0,13
15,4,1,0,26
15,5,1,0,29
15,6,1,0,29
15,7,1,0,15
15,8,1,0,24
15,1,2,0,31
15,2,2,0,14
15,3,2,0,19
15,4,2,0,27
15,5,2,0,27
15,6,2,0,28
15,7,2,0,12
15,8,2,0,27
16,1,1,1,0
16,2,1,0,30
16,3,1,0,26
16,4,1,0,0
16,5,1,0,26
16,6,1,0,29
16,7,1,0,18
16,8,1,0,18
16,1,2,1,0
16,2,2,0,29
16,3,2,0,24
16,4,2,0,1
16,5,2,0,22
16,6,2,0,29
16,7,2,0,13
16,8,2,0,19
17,1,1,0,7
17,2,1,0,31
17,3,1,0,24
17,4,1,0,30
17,5,1,0,24
17,6,1,0,16
17,7,1,0,27
17,8,1,0,27
17,1,2,0,6
17,2,2,0,30
17,3,2,0,26
17,4,2,0,30
17,5,2,0,28
17,6,2,0,13
17,7,2,0,29
17,8,2,0,26
18,1,1,0,27
18,2,1,0,26
18,3,1,0,29
18,4,1,0,20
18,5,1,0,24
18,6,1,0,24
18,7,1,0,18
18,8,1,0,23
18,1,2,0,29
18,2,2,0,25
18,3,2,0,29
18,4,2,0,25
18,5,2,0,24
18,6,2,0,19
18,7,2,0,16
18,8,2,0,25
19,1,1,0,2
19,2,1,0,25
19,3,1,0,27
19,4,1,0,31
19,5,1,0,26
19,6,1,0,31
19,7,1,0,31
19,8,1,0,27
19,1,2,0,2
19,2,2,0,28
19,3,2,0,26
19,4,2,0,29
19,5,2,0,24
19,6,2,0,30
19,7,2,0,27
19,8,2,0,25
20,1,1,0,28
20,2,1,0,18
20,3,1,0,11
20,4,1,0,22
20,5,1,1,0
20,6,1,0,16
20,7,1,0,14
20,8,1,0,20
20,9,1,0,25
20,1,2,0,22
20,2,2,0,11
20,3,2,0,6
20,4,2,0,19
20,5,2,1,8
20,6,2,0,18
20,7,2,0,17
20,8,2,0,25
20,9,2,0,28
21,1,1,0,18
21,2,1,0,9
21,3,1,0,21
21,4,1,0,29
21,5,1,0,21
21,6,1,0,25
21,1,2,0,18
21,2,2,0,9
21,3,2,0,30
21,4,2,0,25
21,5,2,0,25
21,6,2,0,29
22,1,1,1,0
22,2,1,1,0
22,3,1,1,12
22,4,1,1,22
22,5,1,0,26
22,6,1,0,31
22,1,2,1,0
22,2,2,1,0
22,3,2,1,15
22,4,2,1,22
22,5,2,0,23
22,6,2,0,28
23,1,1,0,0
23,2,1,0,0
23,3,1,0,5
23,4,1,0,6
23,5,1,0,22
23,6,1,0,24
23,7,1,0,31
23,8,1,0,31
23,1,2,0,0
23,2,2,0,0
23,3,2,0,6
23,4,2,0,11
23,5,2,0,19
23,6,2,0,26
23,7,2,0,31
23,8,2,0,31
24,1,1,0,28
24,2,1,0,23
24,3,1,0,22
24,4,1,0,27
24,5,1,0,2
24,6,1,0,12
24,7,1,0,28
24,1,2,0,30
24,2,2,0,26
24,3,2,0,23
24,4,2,0,28
24,5,2,0,0
24,6,2,0,14
24,7,2,0,30
25,1,1,0,29
25,2,1,0,27
25,3,1,0,7
25,4,1,0,30
25,5,1,0,4
25,6,1,0,17
25,7,1,0,19
25,8,1,0,22
25,9,1,0,25
25,1,2,0,30
25,2,2,0,27
25,3,2,0,13
25,4,2,0,27
25,5,2,0,11
25,6,2,0,22
25,7,2,0,18
25,8,2,0,25
25,9,2,0,24
26,1,1,0,2
26,2,1,0,29
26,3,1,0,21
26,4,1,0,25
26,5,1,0,17
26,6,1,0,23
26,7,1,0,13
26,8,1,0,22
26,1,2,0,0
26,2,2,0,30
26,3,2,0,17
26,4,2,0,20
26,5,2,0,16
26,6,2,0,25
26,7,2,0,11
26,8,2,0,17
27,1,1,0,5
27,2,1,0,1
27,3,1,0,14
27,4,1,1,2
27,5,1,0,19
27,6,1,0,27
27,7,1,0,31
27,8,1,0,19
27,9,1,1,16
27,10,1,0,31
27,11,1,0,31
27,12,1,0,23
27,1,2,0,3
27,2,2,0,0
27,3,2,0,15
27,4,2,1,1
27,5,2,0,17
27,6,2,0,29
27,7,2,0,31
27,8,2,0,21
27,9,2,1,14
27,10,2,0,31
27,11,2,0,31
27,12,2,0,29
28,1,1,0,27
28,2,1,0,24
28,3,1,0,11
28,4,1,0,30
28,5,1,0,30
28,6,1,0,19
28,7,1,0,14
28,8,1,0,18
28,9,1,0,9
28,10,1,0,16
28,1,2,0,28
28,2,2,0,22
28,3,2,0,14
28,4,2,0,30
28,5,2,0,28
28,6,2,0,17
28,7,2,0,13
28,8,2,0,18
28,9,2,0,12
28,10,2,0,12
29,1,1,0,21
29,2,1,0,14
29,3,1,0,24
29,4,1,0,24
29,5,1,0,10
29,6,1,0,14
29,7,1,0,23
29,8,1,1,27
29,9,1,0,24
29,10,1,0,2
29,1,2,0,23
29,2,2,0,11
29,3,2,0,23
29,4,2,0,24
29,5,2,0,21
29,6,2,0,14
29,7,2,0,15
29,8,2,1,29
29,9,2,0,20
29,10,2,0,4
30,1,1,0,13
30,2,1,0,0
30,3,1,0,11
30,4,1,0,14
30,5,1,0,23
30,6,1,0,22
30,7,1,0,29
30,8,1,0,7
30,1,2,0,16
30,2,2,0,0
30,3,2,0,9
30,4,2,0,16
30,5,2,0,25
30,6,2,0,28
30,7,2,0,27
30,8,2,0,5
31,1,1,0,5
31,2,1,1,31
31,3,1,1,4
31,4,1,1,8
31,5,1,0,17
31,6,1,0,17
31,7,1,1,11
31,8,1,1,26
31,1,2,0,4
31,2,2,1,31
31,3,2,1,3
31,4,2,1,3
31,5,2,0,17
31,6,2,0,10
31,7,2,1,15
31,8,2,1,19
32,1,1,0,22
32,2,1,0,25
32,3,1,0,20
32,4,1,0,14
32,5,1,0,14
32,6,1,0,15
32,7,1,0,18
32,8,1,0,15
32,1,2,0,17
32,2,2,0,27
32,3,2,0,23
32,4,2,0,13
32,5,2,0,18
32,6,2,0,17
32,7,2,0,16
32,8,2,0,13
33,1,1,0,30
33,2,1,0,29
33,3,1,0,28
33,4,1,0,23
33,5,1,0,25
33,6,1,0,0
33,7,1,0,20
33,8,1,0,31
33,9,1,0,29
33,10,1,0,29
33,11,1,1,5
33,12,1,1,8
33,13,1,1,7
33,1,2,0,30
33,2,2,0,27
33,3,2,0,29
33,4,2,0,27
33,5,2,0,27
33,6,2,0,1
33,7,2,0,18
33,8,2,0,30
33,9,2,0,26
33,10,2,0,28
33,11,2,1,6
33,12,2,1,1
33,13,2,1,4
34,1,1,0,31
34,2,1,0,31
34,3,1,0,31
34,4,1,0,3
34,5,1,0,20
34,6,1,0,28
34,7,1,0,9
34,8,1,0,19
34,1,2,0,31
34,2,2,0,29
34,3,2,0,31
34,4,2,0,0
34,5,2,0,23
34,6,2,0,29
34,7,2,0,12
34,8,2,0,17
35,1,1,0,14
35,2,1,0,15
35,3,1,0,28
35,4,1,0,29
35,5,1,0,26
35,6,1,0,31
35,1,2,0,19
35,2,2,0,19
35,3,2,0,30
35,4,2,0,28
35,5,2,0,28
35,6,2,0,31
36,1,1,0,18
36,2,1,0,22
36,3,1,0,11
36,4,1,1,0
36,5,1,0,17
36,6,1,0,6
36,7,1,0,28
36,8,1,0,6
36,9,1,1,0
36,10,1,0,10
36,1,2,0,15
36,2,2,0,20
36,3,2,0,12
36,4,2,1,0
36,5,2,0,14
36,6,2,0,8
36,7,2,0,26
36,8,2,0,13
36,9,2,1,3
36,10,2,0,13
37,1,1,0,12
37,2,1,0,18
37,3,1,0,28
37,4,1,0,31
37,5,1,0,27
37,6,1,0,26
37,1,2,0,14
37,2,2,0,16
37,3,2,0,30
37,4,2,0,31
37,5,2,0,27
37,6,2,0,25
38,1,1,0,30
38,2,1,0,14
38,3,1,0,13
38,4,1,0,24
38,5,1,0,25
38,6,1,0,25
38,1,2,0,27
38,2,2,0,15
38,3,2,0,8
38,4,2,0,27
38,5,2,0,26
38,6,2,0,22
39,1,1,0,19
39,2,1,0,18
39,3,1,0,0
39,4,1,0,5
39,5,1,0,30
39,6,1,0,31
39,7,1,0,31
39,1,2,0,21
39,2,2,0,17
39,3,2,0,0
39,4,2,0,2
39,5,2,0,29
39,6,2,0,31
39,7,2,0,31
40,1,1,0,28
40,2,1,0,31
40,3,1,1,0
40,4,1,0,31
40,5,1,0,31
40,6,1,0,31
40,7,1,0,31
40,1,2,0,27
40,2,2,0,29
40,3,2,1,0
40,4,2,0,31
40,5,2,0,31
40,6,2,0,31
40,7,2,0,31
41,1,1,0,23
41,2,1,0,16
41,3,1,0,27
41,4,1,0,27
41,5,1,0,31
41,6,1,0,30
41,1,2,0,25
41,2,2,0,21
41,3,2,0,29
41,4,2,0,28
41,5,2,0,30
41,6,2,0,31
42,1,1,0,31
42,2,1,0,31
42,3,1,0,29
42,4,1,0,31
42,5,1,0,31
42,1,2,0,31
42,2,2,0,31
42,3,2,0,30
42,4,2,0,31
42,5,2,0,31
