TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
8,2,2,0,31
8,3,2,0,17
8,4,2,0,27
8,5,2,0,30
8,6,2,0,31
8,7,2,0,30
9,1,1,0,26
9,2,1,1,0
9,3,1,0,0
9,4,1,0,7
9,5,1,0,0
9,6,1,0,31
9,7,1,0,31
9,8,1,0,30
9,9,1,0,31
9,1,2,0,27
9,2,2,1,0
9,3,2,0,0
9,4,2,0,5
9,5,2,0,0
9,6,2,0,31
9,7,2,0,31
9,8,2,0,30
9,9,2,0,31
10,1,1,0,21
10,2,1,0,13
10,3,1,0,10
10,4,1,0,25
10,5,1,0,30
10,6,1,0,31
10,7,1,0,31
10,8,1,0,30
10,1,2,0,26
10,2,2,0,16
10,3,2,0,11
10,4,2,0,27
10,5,2,0,30
10,6,2,0,31
10,7,2,0,31
10,8,2,0,30
11,1,1,0,30
11,2,1,0,31
11,3,1,0,19
11,4,1,0,28
11,5,1,0,29
11,6,1,0,27
11,7,1,0,29
11,1,2,0,29
11,2,2,0,28
11,3,2,0,19
11,4,2,0,28
11,5,2,0,30
11,6,2,0,29
11,7,2,0,28
12,1,1,0,0
12,2,1,0,0
12,3,1,0,17
12,4,1,0,2
12,5,1,0,14
12,6,1,0,26
12,7,1,0,13
12,8,1,1,4
12,1,2,0,0
12,2,2,0,0
12,3,2,0,13
12,4,2,0,3
12,5,2,0,11
12,6,2,0,22
12,7,2,0,12
12,8,2,1,5
13,1,1,0,3
13,2,1,0,11
13,3,1,0,11
13,4,1,0,0
13,5,1,0,7
13,6,1,0,31
13,7,1,0,26
13,8,1,0,5
13,9,1,0,31
13,10,1,0,18
13,11,1,0,21
13,1,2,0,3
13,2,2,0,14
13,3,2,0,14
13,4,2,0,1
13,5,2,0,8
13,6,2,0,31
13,7,2,0,29
13,8,2,0,0
13,9,2,0,31
13,10,2,0,17
13,11,2,0,20
14,1,1,0,30
14,2,1,0,30
14,3,1,0,10
14,4,1,0,8
14,5,1,0,2
14,6,1,0,31
14,7,1,0,24
14,8,1,0,26
14,9,1,0,29
14,1,2,0,30
14,2,2,0,31
14,3,2,0,7
14,4,2,0,4
14,5,2,0,0
14,6,2,0,31
14,7,2,0,25
14,8,2,0,29
14,9,2,0,31
15,1,1,0,24
15,2,1,0,28
15,3,1,0,31
15,4,1,0,26
15,5,1,0,19
15,6,1,0,27
15,7,1,0,25
15,8,1,0,27
15,1,2,0,23
15,2,2,0,30
15,3,2,0,30
15,4,2,0,25
15,5,2,0,23
15,6,2,0,21
15,7,2,0,29
15,8,2,0,23
16,1,1,0,31
16,2,1,0,15
16,3,1,0,12
16,4,1,1,19
16,5,1,0,14
16,6,1,0,31
16,7,1,0,31
16,8,1,0,31
16,1,2,0,28
16,2,2,0,11
16,3,2,0,9
16,4,2,1,24
16,5,2,0,13
16,6,2,0,30
16,7,2,0,31
16,8,2,0,31
17,1,1,0,30
17,2,1,0,13
17,3,1,0,9
17,4,1,0,27
17,5,1,0,30
17,6,1,0,21
17,7,1,1,28
17,8,1,0,30
17,9,1,0,31
17,1,2,0,29
17,2,2,0,16
17,3,2,0,12
17,4,2,0,28
17,5,2,0,30
17,6,2,0,22
17,7,2,1,28
17,8,2,0,29
17,9,2,0,31
18,1,1,0,31
18,2,1,0,29
18,3,1,0,31
18,4,1,0,0
18,5,1,0,31
18,6,1,0,25
18,7,1,0,29
18,8,1,0,30
18,1,2,0,28
18,2,2,0,30
18,3,2,0,30
18,4,2,0,0
18,5,2,0,31
18,6,2,0,21
18,7,2,0,26
18,8,2,0,28
19,1,1,0,3
19,2,1,0,19
19,3,1,0,11
19,4,1,0,29
19,5,1,0,31
19,6,1,0,29
19,7,1,0,31
19,8,1,0,31
19,1,2,0,10
19,2,2,0,8
19,3,2,0,14
19,4,2,0,29
19,5,2,0,31
19,6,2,0,28
19,7,2,0,31
19,8,2,0,31
20,1,1,0,31
20,2,1,1,27
20,3,1,0,21
20,4,1,0,5
20,5,1,1,1
20,6,1,0,24
20,1,2,0,31
20,2,2,1,29
20,3,2,0,18
20,4,2,0,1
20,5,2,1,0
20,6,2,0,21
21,1,1,0,23
21,2,1,0,22
21,3,1,0,12
21,4,1,0,27
21,5,1,0,25
21,6,1,0,30
21,1,2,0,22
21,2,2,0,17
21,3,2,0,15
21,4,2,0,25
21,5,2,0,26
21,6,2,0,29
22,1,1,0,22
22,2,1,0,23
22,3,1,0,19
22,4,1,0,24
22,5,1,0,1
22,6,1,0,14
22,7,1,0,31
22,1,2,0,25
22,2,2,0,24
22,3,2,0,15
22,4,2,0,18
22,5,2,0,1
22,6,2,0,5
22,7,2,0,29
23,1,1,0,13
23,2,1,0,29
23,3,1,1,0
23,4,1,0,21
23,5,1,0,31
23,6,1,0,31
23,1,2,0,11
23,2,2,0,27
23,3,2,1,2
23,4,2,0,13
23,5,2,0,31
23,6,2,0,31
24,1,1,0,3
24,2,1,0,16
24,3,1,0,21
24,4,1,0,25
24,5,1,0,15
24,6,1,0,1
24,7,1,0,18
24,1,2,0,13
24,2,2,0,14
24,3,2,0,15
24,4,2,0,21
24,5,2,0,12
24,6,2,0,0
24,7,2,0,13
25,1,1,0,9
25,2,1,0,30
25,3,1,0,0
25,4,1,0,28
25,5,1,0,31
25,6,1,0,31
25,1,2,0,12
25,2,2,0,31
25,3,2,0,0
25,4,2,0,27
25,5,2,0,31
25,6,2,0,30
26,1,1,0,30
26,2,1,0,13
26,3,1,0,21
26,4,1,0,31
26,5,1,0,23
26,6,1,0,27
26,7,1,0,17
26,8,1,0,31
26,1,2,0,29
26,2,2,0,15
26,3,2,0,27
26,4,2,0,29
26,5,2,0,23
26,6,2,0,23
26,7,2,0,19
26,8,2,0,31
27,1,1,0,26
27,2,1,0,27
27,3,1,0,12
27,4,1,1,4
27,5,1,0,0
27,6,1,0,17
27,7,1,0,31
27,8,1,0,31
27,9,1,0,31
27,1,2,0,29
27,2,2,0,24
27,3,2,0,13
27,4,2,1,4
27,5,2,0,0
27,6,2,0,20
27,7,2,0,29
27,8,2,0,31
27,9,2,0,31
28,1,1,0,31
28,2,1,0,31
28,3,1,0,31
28,4,1,0,31
28,5,1,0,0
28,6,1,0,21
28,7,1,0,31
28,1,2,0,30
28,2,2,0,30
28,3,2,0,31
28,4,2,0,31
28,5,2,0,0
28,6,2,0,27
28,7,2,0,31
29,1,1,1,7
29,2,1,1,10
29,3,1,1,2
29,4,1,1,0
29,5,1,1,1
29,6,1,1,6
29,7,1,1,20
29,1,2,1,5
29,2,2,1,5
29,3,2,1,2
29,4,2,1,2
29,5,2,1,2
29,6,2,1,10
29,7,2,1,18
30,1,1,0,28
30,2,1,0,27
30,3,1,0,0
30,4,1,0,0
30,5,1,0,0
30,6,1,0,0
30,7,1,0,31
30,1,2,0,28
30,2,2,0,27
30,3,2,0,1
30,4,2,0,1
30,5,2,0,4
30,6,2,0,3
30,7,2,0,27
31,1,1,0,9
31,2,1,0,21
31,3,1,1,0
31,4,1,1,0
31,5,1,1,0
31,6,1,0,20
31,7,1,0,29
31,1,2,0,11
31,2,2,0,21
31,3,2,1,0
31,4,2,1,0
31,5,2,1,0
31,6,2,0,22
31,7,2,0,27
32,1,1,0,28
32,2,1,0,27
32,3,1,0,19
32,4,1,0,30
32,5,1,0,31
32,6,1,0,31
32,7,1,0,3
32,8,1,0,30
32,1,2,0,28
32,2,2,0,28
32,3,2,0,14
32,4,2,0,29
32,5,2,0,31
32,6,2,0,31
32,7,2,0,9
32,8,2,0,30
33,1,1,0,11
33,2,1,0,2
33,3,1,0,26
33,4,1,0,26
33,5,1,0,8
33,6,1,0,9
33,7,1,0,25
33,8,1,0,19
33,1,2,0,12
33,2,2,0,0
33,3,2,0,29
33,4,2,0,25
33,5,2,0,16
33,6,2,0,7
33,7,2,0,21
33,8,2,0,20
34,1,1,0,25
34,2,1,0,17
34,3,1,0,31
34,4,1,0,30
34,5,1,0,31
34,6,1,0,17
34,7,1,0,17
34,1,2,0,21
34,2,2,0,17
34,3,2,0,30
34,4,2,0,29
34,5,2,0,30
34,6,2,0,20
34,7,2,0,14
35,1,1,0,25
35,2,1,0,11
35,3,1,0,13
35,4,1,0,19
35,5,1,0,27
35,6,1,0,9
35,1,2,0,28
35,2,2,0,19
35,3,2,0,10
35,4,2,0,16
35,5,2,0,28
35,6,2,0,6
36,1,1,0,25
36,2,1,0,3
36,3,1,1,3
36,4,1,1,1
36,5,1,0,31
36,6,1,0,31
36,7,1,0,30
36,1,2,0,25
36,2,2,0,3
36,3,2,1,2
36,4,2,1,2
36,5,2,0,31
36,6,2,0,31
36,7,2,0,29
37,1,1,0,29
37,2,1,0,31
37,3,1,0,31
37,4,1,0,20
37,5,1,0,5
37,6,1,0,2
37,7,1,0,3
37,8,1,0,31
37,9,1,1,4
37,1,2,0,31
37,2,2,0,31
37,3,2,0,31
37,4,2,0,26
37,5,2,0,3
37,6,2,0,2
37,7,2,0,7
37,8,2,0,28
37,9,2,1,1
38,1,1,0,21
38,2,1,0,29
38,3,1,0,28
38,4,1,0,30
38,5,1,0,27
38,6,1,0,28
38,7,1,0,28
38,8,1,0,31
38,9,1,0,30
38,1,2,0,20
38,2,2,0,30
38,3,2,0,26
38,4,2,0,30
38,5,2,0,26
38,6,2,0,30
38,7,2,0,30
38,8,2,0,31
38,9,2,0,28
39,1,1,0,31
39,2,1,0,21
39,3,1,0,10
39,4,1,0,30
39,5,1,0,22
39,6,1,0,30
39,7,1,0,31
39,8,1,0,31
39,9,1,0,31
39,1,2,0,31
39,2,2,0,24
39,3,2,0,12
39,4,2,0,30
39,5,2,0,14
39,6,2,0,29
39,7,2,0,31
39,8,2,0,31
39,9,2,0,31
40,1,1,0,20
40,2,1,0,28
40,3,1,0,31
40,4,1,0,30
40,5,1,0,31
40,6,1,0,25
40,7,1,0,21
40,8,1,0,27
40,9,1,0,22
40,1,2,0,21
40,2,2,0,23
40,3,2,0,29
40,4,2,0,31
40,5,2,0,31
40,6,2,0,25
40,7,2,0,23
40,8,2,0,27
40,9,2,0,24
41,1,1,0,22
41,2,1,0,26
41,3,1,0,12
41,4,1,0,28
41,5,1,0,28
41,6,1,0,31
41,7,1,0,30
41,1,2,0,23
41,2,2,0,27
41,3,2,0,12
41,4,2,0,30
41,5,2,0,30
41,6,2,0,31
41,7,2,0,29
42,1,1,0,4
42,2,1,1,24
42,3,1,0,26
42,4,1,1,28
42,5,1,0,27
42,6,1,0,31
42,7,1,0,31
42,1,2,0,2
42,2,2,1,18
42,3,2,0,27
42,4,2,1,26
42,5,2,0,27
42,6,2,0,31
42,7,2,0,31
43,1,1,0,21
43,2,1,0,9
43,3,1,0,7
43,4,1,0,19
43,5,1,0,29
43,6,1,0,21
43,1,2,0,18
43,2,2,0,15
43,3,2,0,8
43,4,2,0,16
43,5,2,0,27
43,6,2,0,14
44,1,1,0,29
44,2,1,0,22
44,3,1,0,24
44,4,1,0,8
44,5,1,0,17
44,6,1,0,31
44,7,1,0,31
44,8,1,1,15
44,1,2,0,30
44,2,2,0,23
44,3,2,0,22
44,4,2,0,3
44,5,2,0,14
44,6,2,0,31
44,7,2,0,30
44,8,2,1,17
45,1,1,0,21
45,2,1,0,13
45,3,1,0,16
45,4,1,0,20
45,5,1,0,12
45,6,1,0,19
45,7,1,0,10
45,1,2,0,22
45,2,2,0,18
45,3,2,0,14
45,4,2,0,18
45,5,2,0,15
45,6,2,0,18
45,7,2,0,14
46,1,1,0,26
46,2,1,0,20
46,3,1,0,29
46,4,1,0,18
46,5,1,0,31
46,6,1,0,30
46,7,1,0,31
46,1,2,0,24
46,2,2,0,21
46,3,2,0,30
46,4,2,0,21
46,5,2,0,31
46,6,2,0,31
46,7,2,0,31
47,1,1,0,31
47,2,1,0,25
47,3,1,0,31
47,4,1,0,30
47,5,1,0,31
47,1,2,0,30
47,2,2,0,29
47,3,2,0,30
47,4,2,0,28
47,5,2,0,31
48,1,1,1,0
48,2,1,0,31
48,3,1,0,6
48,4,1,0,25
48,1,2,1,0
48,2,2,0,31
48,3,2,0,10
48,4,2,0,21
49,1,1,0,30
49,2,1,0,26
49,3,1,0,31
49,4,1,0,31
49,1,2,0,31
49,2,2,0,28
49,3,2,0,31
49,4,2,0,31
50,1,1,0,26
50,2,1,0,30
50,3,1,0,31
50,4,1,0,27
50,5,1,0,30
50,6,1,0,30
50,1,2,0,26
50,2,2,0,29
50,3,2,0,29
50,4,2,0,28
50,5,2,0,28
50,6,2,0,29
51,1,1,0,29
51,2,1,0,30
51,3,1,0,27
51,4,1,0,30
51,5,1,0,26
51,6,1,0,30
51,1,2,0,31
51,2,2,0,31
51,3,2,0,30
51,4,2,0,31
51,5,2,0,31
51,6,2,0,31
52,1,1,0,3
52,2,1,0,14
52,3,1,0,30
52,4,1,0,30
52,5,1,0,30
52,6,1,0,9
52,7,1,0,30
52,8,1,0,30
52,1,2,0,8
52,2,2,0,12
52,3,2,0,30
52,4,2,0,29
52,5,2,0,27
52,6,2,0,4
52,7,2,0,29
52,8,2,0,29
53,1,1,0,31
53,2,1,0,5
53,3,1,0,0
53,4,1,0,31
53,5,1,0,31
53,6,1,0,14
53,1,2,0,31
53,2,2,0,10
53,3,2,0,2
53,4,2,0,31
53,5,2,0,31
53,6,2,0,19
54,1,1,0,30
54,2,1,0,15
54,3,1,0,20
54,4,1,0,14
54,5,1,0,28
54,6,1,0,14
54,1,2,0,31
54,2,2,0,18
54,3,2,0,14
54,4,2,0,13
54,5,2,0,27
54,6,2,0,5
55,1,1,0,25
55,2,1,0,24
55,3,1,0,18
55,4,1,0,29
55,5,1,0,23
55,6,1,0,23
55,7,1,0,22
55,1,2,0,25
55,2,2,0,28
55,3,2,0,17
55,4,2,0,26
55,5,2,0,19
55,6,2,0,17
55,7,2,0,22
56,1,1,0,29
56,2,1,0,22
56,3,1,1,1
56,4,1,0,24
56,5,1,0,18
56,6,1,0,23
56,1,2,0,31
56,2,2,0,23
56,3,2,1,6
56,4,2,0,21
56,5,2,0,16
56,6,2,0,26
